"uuid","index_key","reference_key","insert_date","update_date","update_by","change_log","casino_name","legal_title","casino_short","casino_abbreviation","tribe_id","logo_path","casino_priority","main_house_average","smoking_adw","high_limit_adw","calculated_house_average","total_number_of_machines","os_id","bv_id","printer_id","state_id","address","city","zip","longitude","latitude","phone","sales","available_vendors","goal","route_week","last_report","general_manager_name","general_manager_email","slot_director_name","slot_director_email","accounting_name","accounting_email","casino_referal","dgs_referal","licensed","signed_master_agreement","executed_on","expiration","agreement_type","split","cap","fee","loss_passed","minimum","compliance_id","lats_visit","last_audit","persistant_notes"
"1179566B-9E78-4D51-BE7A-FA192EF7B421","1","CT-00001","2025-07-24 09:22:27.923","2025-07-24 10:37:31.777","Paul Collins","Updated on 2025-07-24 10:37:31 Log key: (LT-000060809)","Prairie Band Casino & Resort","Prairie Band Casino & Resort","Prairie Band","PBC","TR-00169","","1","350","460","460","","1200","PT-00020","","","ST-05","12305 150th Rd","Mayetta","66509","-95.75053405761719","39.31525421142578","","Chad F","VT-005, VT-023","27","4","","","","","","","","","","true","true","","","Lease and Purchase","","","","false","","COT-0029","","",""
"BA0431E2-116D-4B8F-B623-EA6387FF9B21","2","CT-00002","2025-07-24 09:22:27.923","2025-08-01 16:29:45.637","Paul Collins","Updated on 2025-08-01 16:29:45 Log key: (LT-000061843)","Casino White Cloud","Casino White Cloud","White Cloud","WCC","TR-00140","","2","120","0","0","","375","PT-00020","","","ST-05","777 Jackpot Dr","White Cloud","66094","-95.36870574951172","39.988929748535156","","Chad F","VT-005, VT-023, VT-015","14","4","","","","","","","","","","false","false","","","","","","","false","","COT-0027","","","Previous account"
"11BE5E96-2C7D-4CCA-9D18-09496BCB42FE","4","CT-00004","2025-07-24 09:22:27.923","2025-07-24 10:37:31.777","Paul Collins","Updated on 2025-07-24 10:37:31 Log key: (LT-000060476)","Seven Clans Casino, Red Lake","Seven Clans Casino, Red Lake","Red Lake","RL","TR-00175","","2","75","0","0","","307","","","","ST-07","10200 MN-89","Red Lake","56671","-95.02471160888672","47.80319595336914","","Rebecca K.T.","VT-005, VT-004","","","","","","","","","","","","true","true","","","Lease","0.20","","","false","","COT-0039","","",""
"F32B6DC8-9BCB-49B2-84E3-BF132CF924A4","5","CT-00005","2025-07-24 09:22:27.923","2025-07-24 10:37:31.777","Paul Collins","Updated on 2025-07-24 10:37:31 Log key: (LT-000060718)","Seven Clans Casino, Warroad","Seven Clans Casino, Warroad","Warroad","WR","TR-00175","","2","77","0","0","","656","","","","ST-07","34966 605th Ave","Warroad","56763","-95.29629516601562","48.90254592895508","","Rebecca K.T.","VT-005, VT-004","4","","","","","","","","","","","true","true","","","Lease","0.20","","","false","","COT-0039","","",""
"A16880AC-EC69-413D-8AFE-953017D6849C","6","CT-00006","2025-07-24 09:22:27.923","2025-08-01 16:18:25.200","Paul Collins","Updated on 2025-08-01 16:18:25 Log key: (LT-000061835)","Deadwood Gulch Resort","Deadwood Gulch Resort","Deadwood Gulch","DWG","TR-00121","","3","80","0","0","","160","","","","ST-14","304 Cliff St","Deadwood","57732","-103.73532104492188","44.36463165283203","","Sean W","VT-005, VT-024, VT-008, VT-011","2","4","","","","","","","","","","true","true","","","Lease","","","","false","","COT-0104","","","Purchased by Gaming and Leisure Properties, Inc in 2024. Turnover happened in June 2025."
"9B5C79A8-C07F-469B-8258-E12FA5AA808A","7","CT-00007","2025-07-24 09:22:27.923","2025-07-24 10:37:31.777","Paul Collins","Updated on 2025-07-24 10:37:31 Log key: (LT-000060769)","Celebrity Boutique Hotel","Celebrity Boutique Hotel","Celebrity","CCH","TR-00121","","3","80","0","225","","65","PT-00008","","","ST-14","629 Main St","Deadwood","57732","-103.72884368896484","44.37790298461914","","Sean W","VT-005, VT-008, VT-011","2","4","","","","","","","","","","true","true","","","Lease","","","","false","","COT-0106","","",""
"F8F286A7-9061-42E7-874E-55A7E2ABAD73","8","CT-00008","2025-07-24 09:22:27.923","2025-08-04 10:46:27.297","Paul Collins","Updated on 2025-08-04 10:46:27 Log key: (LT-000061908)","WarHorse Casino Omaha","WarHorse Casino Omaha","WarHorse: Omaha","WHO","TR-00138","","1","0","0","0","","800","PT-00020","","","ST-09","6303 Q St","Omaha","68117","-96.01087188720703","41.2044792175293","","Sean W","VT-023","","6","","","","","","","","","","true","true","","","Lease","","","","false","","COT-0050","","",""
"5C8C462C-E9EE-47ED-A452-0D5BEF7EE85F","9","CT-00009","2025-07-24 09:22:27.923","2025-07-24 10:37:31.777","Paul Collins","Updated on 2025-07-24 10:37:31 Log key: (LT-000060482)","St. Croix Casino Hertel","St. Croix Casino Hertel","St. Croix","SCH","TR-00188","","2","170","0","0","","129","PT-00020","","","ST-15","4348 WI-70","Webster","54893","-92.20409393310547","45.809486389160156","","Rebecca K.T.","VT-005, VT-023, VT-003","4","","","","","","","","","","","true","true","","","Lease and Purchase","","","","false","","COT-0120","","",""
"32DEFCEC-6595-455F-A26F-AF025B43B553","10","CT-00010","2025-07-24 09:22:27.923","2025-08-01 16:36:08.400","Paul Collins","Updated on 2025-08-01 16:36:08 Log key: (LT-000061853)","Sugar Creek Casino South","Sugar Creek Casino South","Sugar Creek Too","SCS","TR-00197","","","","","","","","","","","ST-12","32107 Highway 281","Anadarko","73005","-98.24357604980469","35.0960693359375","","","","","","","","","","","","","","","false","false","","","","","","","false","","COT-0100","","","Closed January 2025"
"8D677ED0-730C-45FF-8D08-F6A4FF572FE8","11","CT-00011","2025-07-24 09:22:27.923","2025-07-24 10:37:31.777","Paul Collins","Updated on 2025-07-24 10:37:31 Log key: (LT-000060803)","Rosebud Casino","Rosebud Casino","Rosebud","RC","TR-00178","","1","145","0","0","","250","PT-00007","BV-05","PR-05","ST-14","30421 US-83","Valentine","69201","-100.57579040527344","42.99924850463867","","Sean W","VT-005, VT-004, VT-011","18","3","","","","","","","","Lessee","Lessor","true","true","","","Lease","","","","false","","COT-0108","","",""
