"uuid","index_key","reference_key","insert_date","update_date","update_by","change_log","item_type","sales_order_key","slot_master_key","vendor","cabinet","theme","other","price","quantity","bill_validator_id","printer_id","active"
"8AE24273-D682-48BB-A271-BBBC6D3F769D","1","DT-0000001","2025-06-25 09:21:16","2025-06-25 10:50:22","Paul Collins","Updated on 2025-07-02 14:01:08 Log key: (LT-000006682)","Cabinet","SO-000001","","VT-003","CAB-00029","","","17500.00","2","","","true"
"7D808C8E-58AE-40C8-837D-55CDC9091292","2","DT-0000002","2025-06-25 09:22:49","2025-07-03 14:49:17","Garrett Aposhian","Updated on 2025-07-03 14:49:24 Log key: (LT-000006855)","Cabinet","SO-000001","","VT-003","CAB-00029","TH-00398","","15000.00","2","","","true"
"BA9E529E-FC74-4D51-93B8-7FA313AE3915","3","DT-0000003","2025-06-25 09:23:22","2025-07-02 10:35:27","Garrett Aposhian","Updated on 2025-07-02 14:01:08 Log key: (LT-000006680)","Software","SO-000001","","VT-003","CAB-00029","TH-00406","","5000.00","4","","","true"
"7FF4C648-B62D-4AB0-ABEB-A3961115297E","4","DT-0000004","2025-06-25 09:23:49","2025-07-03 15:08:01","Garrett Aposhian","Updated on 2025-07-03 15:08:02 Log key: (LT-000006875)","Accessories","SO-000001","","","","","Progressive Controller","2500.00","1","","","true"
"4D4D07CB-C6D6-4C91-BE84-87CB30CCF17A","13","DT-0000013","2025-06-26 12:12:48.527","2025-06-26 12:12:21","Garrett Aposhian","Updated on 2025-07-02 14:01:08 Log key: (LT-000006678)","Cabinet","SO-000002","","VT-003","CAB-00033","TH-00456","","20000.00","1","","","true"
"4E12C072-874D-4ACC-8FF4-5DBE15BF3AE4","7","DT-0000007","2025-06-25 09:24:53","2025-06-25 13:26:35","Paul Collins","Updated on 2025-07-02 14:01:08 Log key: (LT-000006677)","Discount","SO-000001","","","","","Printer and BV Included","500.00","8","","","true"
"B9897E36-48C3-4C9B-979A-BC3FAF4CBEB1","8","DT-0000008","2025-06-25 09:26:02","2025-07-02 16:28:44","Garrett Aposhian","Updated on 2025-07-02 16:28:48 Log key: (LT-000006756)","Delivery","SO-000001","","","","","Delivering 4 Cabinets","1.25","50","","","true"
"375A1F7E-6D3B-419A-85C9-6A51F38563CD","10","DT-0000010","2025-06-25 15:51:46.840","2025-07-03 14:46:44","Garrett Aposhian","Updated on 2025-07-03 14:46:44 Log key: (LT-000006849)","Bill Validator","SO-000001","","","","","","500.00","4","BV-01","","true"
"5D404A92-CE97-4D6D-8B31-527935C46A38","14","DT-0000014","2025-06-26 12:13:21.277","2025-06-27 16:24:10","Garrett Aposhian","Updated on 2025-07-02 14:01:08 Log key: (LT-000006674)","Cabinet","SO-000002","","VT-015","CAB-00098","TH-01368","","20000.00","1","","","true"
"26055553-6B06-41FA-A6CB-A580DAA73492","16","DT-0000016","2025-06-26 13:19:31.887","2025-06-26 13:18:55","Garrett Aposhian","Updated on 2025-07-02 14:01:08 Log key: (LT-000006673)","Cabinet","SO-000003","","VT-003","CAB-00033","TH-00448","","20000.00","2","","","true"
"471A8EB0-5347-4182-A54F-96948EF52035","18","DT-0000018","2025-07-02 08:58:59.077","2025-07-02 08:58:33","Garrett Aposhian","Updated on 2025-07-02 14:01:08 Log key: (LT-000006672)","Software","SO-000002","","VT-019","CAB-00108","TH-01568","","1500.00","2","","","true"
"43025942-FBD1-4285-A2ED-5DC0EE8AFA61","24","DT-0000024","2025-07-03 15:46:42.480","2025-07-03 15:46:19","Garrett Aposhian","Updated on 2025-07-03 15:46:42 Log key: (LT-000006918)","Cabinet","SO-000004","","VT-015","CAB-00098","TH-01373","","25000.00","2","","","true"
"1D5329D8-700F-48EB-A92D-B3715127615E","25","DT-0000025","2025-07-03 15:46:57.930","2025-07-03 15:47:00","Garrett Aposhian","Updated on 2025-07-03 15:47:07 Log key: (LT-000006922)","Software","SO-000004","","VT-015","CAB-00098","TH-01367","","500.00","2","","","true"
