"uuid","index_key","reference_key","insert_date","update_date","update_by","change_log","serial_number","vendor_id","cabinet_id","cabinet_type","class","machine_type","logic_box","machine_cost","date_received","agreement_order","agreement_date","invoice_number","invoice_date","performance_warranty_period","performance_warranty_active","performance_warranty_end","part_warranty_period","part_warranty_active","part_warranty_end","sales_order","comments"
"3CEBC399-D6FD-48D9-B531-90C9E9465740","8252","A-08252","2025-08-14 11:24:46","2025-09-24 13:31:50.793","Paul Collins","Updated on 2025-09-24 13:31:50 Log key: (LT-000083289)","2088019","VT-002","CAB-00024","Sit Down","III","Video","","1606.81","","70165715","2017-09-19","","","0","","","0","","","","_Serial Tag Removed and Cabinet Scrapped"
"2859199F-6CB7-4C94-BC14-B89EE960C522","8275","A-08275","2025-08-15 11:00:02","2025-09-24 13:31:50.843","Paul Collins","Updated on 2025-09-24 13:31:50 Log key: (LT-000083290)","2088697","VT-002","CAB-00018","Upright","III","Video","","1607.00","","42997","","","","0","","","0","","","","_Serial Tag Removed and Cabinet Scrapped"
"4B579144-01D4-4415-92A7-97D2E3C0C4A0","8330","A-08330","2025-08-15 15:26:41","2025-09-24 13:31:50.890","Paul Collins","Updated on 2025-09-24 13:31:50 Log key: (LT-000083291)","5040747","VT-009","CAB-00074","Upright","III","Viedo","","0.00","","","","","","0","","","0","","","",""
"B86AF634-5FA5-4094-A70E-8E5F08F0FEE0","8333","A-08333","2025-08-15 15:30:31","2025-09-24 13:31:50.930","Paul Collins","Updated on 2025-09-24 13:31:50 Log key: (LT-000083292)","5061439","VT-009","CAB-00074","Upright","III","Video","","9042.55","","9914","2020-03-13","","","0","","","0","","","","_Serial Tag Removed and Cabinet Scrapped"
"3D1B6732-F6F3-4FD2-A27A-A47D7559655F","8334","A-08334","2025-08-15 15:34:38","2025-09-24 13:31:50.977","Paul Collins","Updated on 2025-09-24 13:31:50 Log key: (LT-000083293)","5061442","VT-009","CAB-00074","Upright","III","Video","","9042.55","","9914","2020-03-13","","","0","","","0","","","","_Serial Tag Removed and Cabinet Scrapped"
"29F54E8B-8D5A-4C20-89FA-542C58C99001","8340","A-08340","2025-08-15 15:45:44","2025-09-24 13:31:51.020","Paul Collins","Updated on 2025-09-24 13:31:51 Log key: (LT-000083294)","5132004","VT-007","CAB-00065","Upright","III","Video","","19195.00","","455027","2019-01-31","","","0","","","0","","","455027","Sold - IGS - Invoice 4640"
"5EA30403-9212-4407-9A33-39DBB9AFB97A","8342","A-08342","2025-08-15 15:49:48","2025-09-24 13:31:51.060","Paul Collins","Updated on 2025-09-24 13:31:51 Log key: (LT-000083295)","6004591","VT-005","CAB-00056","Upright","III","Video","","0.00","2021-05-02","2019-0024-RSA-1.01","2020-01-30","","","0","","","0","","","2021-1072-LO","Picked up by Delta"
"875D157A-9985-43EF-BBD1-4CD743B164B6","8344","A-08344","2025-08-15 15:51:57","2025-09-24 13:31:51.107","Paul Collins","Updated on 2025-09-24 13:31:51 Log key: (LT-000083296)","6004593","VT-005","CAB-00056","Upright","III","Video","","0.00","2021-05-02","2019-0024-RSA-1.01","2020-01-30","","","0","","","0","","","2021-1072-LO","Picked up by Delta"
"DC981E3B-712D-4C77-8E9C-3CC24474BDF2","8347","A-08347","2025-08-15 16:20:42","2025-09-24 13:31:51.150","Paul Collins","Updated on 2025-09-24 13:31:51 Log key: (LT-000083297)","78114","VT-012","CAB-00091","Upright","III","Video","","9042.55","","9914","2020-03-13","","","0","","","0","","","","_Serial Tag Removed and Cabinet Scrapped"
"8B976F2C-C837-4762-809C-11EEEE88D80B","8348","A-08348","2025-08-15 16:21:51","2025-09-24 13:31:51.197","Paul Collins","Updated on 2025-09-24 13:31:51 Log key: (LT-000083298)","78116","VT-012","CAB-00091","Upright","III","Video","","9042.55","","9914","2020-03-13","","","0","","","0","","","","_Serial Tag Removed and Cabinet Scrapped"
"F989ACEE-0FDB-4DFE-853E-4A6FDFB612F7","8350","A-08350","2025-08-18 08:42:31","2025-09-24 13:31:51.237","Paul Collins","Updated on 2025-09-24 13:31:51 Log key: (LT-000083299)","84445","VT-012","CAB-00091","Upright","III","Video","","0.00","","TM19-0028-S","2019-03-27","","","0","","","0","","","309510","_Serial Tag Removed and Cabinet Scrapped"
"AA85E1E5-1F56-4976-AE44-061A3AF3856A","8352","A-08352","2025-08-18 08:45:50","2025-09-24 13:31:51.280","Paul Collins","Updated on 2025-09-24 13:31:51 Log key: (LT-000083300)","86992","VT-012","CAB-00091","Upright","III","Video","","3800.00","","TM19-0028-S","2019-03-27","","","0","","","0","","","309510","_Serial Tag Removed and Cabinet Scrapped"
"44C1B54B-D9CE-4C91-A319-A4D8DA6BB235","8354","A-08354","2025-08-18 08:48:34","2025-09-24 13:31:51.323","Paul Collins","Updated on 2025-09-24 13:31:51 Log key: (LT-000083301)","96762","VT-012","CAB-00091","Upright","III","Video","","3188.78","","10556","2020-10-15","","","0","","","0","","","","_Serial Tag Removed and Cabinet Scrapped"
"7C3BA481-88C4-4939-86C4-6E0D5094F391","8355","A-08355","2025-08-18 08:49:34","2025-09-24 13:31:51.370","Paul Collins","Updated on 2025-09-24 13:31:51 Log key: (LT-000083302)","96764","VT-012","CAB-00091","Upright","III","Video","","3188.78","","10556","2020-10-15","","","0","","","0","","","","_Serial Tag Removed and Cabinet Scrapped"
"D70B9A28-33D3-43CE-A9F7-18F4BF39FD89","8357","A-08357","2025-08-18 08:51:54","2025-09-24 13:31:51.413","Paul Collins","Updated on 2025-09-24 13:31:51 Log key: (LT-000083303)","96780","VT-012","CAB-00091","Upright","III","Video","","3188.78","","10556","2020-10-15","","","0","","","0","","","","_Serial Tag Removed and Cabinet Scrapped"
"5539BE34-32A4-49DC-9896-89E04A50279A","8359","A-08359","2025-08-18 08:54:02","2025-09-24 13:31:51.457","Paul Collins","Updated on 2025-09-24 13:31:51 Log key: (LT-000083304)","96783","VT-012","CAB-00091","Upright","III","Video","","3188.78","","10556","2020-10-15","","","0","","","0","","","","_Serial Tag Removed and Cabinet Scrapped"
"59F063B6-A7E9-4CD1-879F-51A3021268F0","8361","A-08361","2025-08-18 08:55:58","2025-09-24 13:31:51.503","Paul Collins","Updated on 2025-09-24 13:31:51 Log key: (LT-000083305)","96786","VT-012","CAB-00091","Upright","III","Video","","3188.78","","10556","2020-10-15","","","0","","","0","","","",""
