"uuid","index_key","reference_key","insert_date","update_date","update_by","change_log","casino_id","asset_id","theme_id","zone","bank","location","asset_number","denom","os_version","rtp","hold","prog_media","paytable","date_instl","golive","lastconver","rmvl_date","prog_type","prog_level","reset_1","reset_2","reset_3","reset_4","reset_5","reset_6","reset_7","reset_8","prog_1","prog_2","prog_3","prog_4","prog_5","prog_6","prog_7","prog_8","top_award","reels","no_lines","bet_line","maxcoinbet","betconfig","butt_panel","top_boxtyp","boot_bios","print_id","print_soft","bill_validator_id","billvalsft","mon_type","toppertype","active"
"1E26B726-2C3C-4EFC-B7DF-E2051A866B0E","16002","SM-000016002","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000099476)","CT-00040","A-00386","TH-00832","1","65","1","102474","0.01","Bolt Platform 3.2","94.10","5.90","USL_GE-6R27L-Mod-1.2","M20-06","2022-05-04","","2022-10-18","","Linked","2","10000.00","3000.00","","","","","","","0.50","0.50","","","","","","","PROG","6","27","75/150/300/600/1200","1200","1/2/4/8/16","iDeck","","Quixant Secure Boot 3.1","No Reference","S00120","No Reference","6NY400008400","","Video","Inactive"
"31C11E96-7887-4EB4-8A1D-5BE4EE3425A5","16003","SM-000016003","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000095021)","CT-00040","A-00386","TH-00825","1","27","1","102559","0.01/0.02/0.05","BOLT PLATFORM v3.2","0.89","99.11","CS-5R26L-Mod-1.0","M22-02","","","2023-01-18","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/600","600","1/2/4/8","","","nan","No Reference","","No Reference","","","","Inactive"
"03835DC4-D267-43AE-AF41-01A24622B36F","16004","SM-000016004","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000092121)","CT-00026","A-00386","TH-00825","LL","4","1","101147","0.01/0.02/0.05","BOLT PLATFORM v3.41","92.01","7.99","CS-5R26L-Mod-1.1","M22-02","2024-06-17","","","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/375/600","600","1/2/4/5/8","","","nan","No Reference","","No Reference","","","","Inactive"
"FB3DC2CB-7F6B-4901-8A51-0835DAB413E0","16005","SM-000016005","2025-09-26 11:49:09.250","2025-10-02 15:06:09.800","Paul Collins","Updated on 2025-10-02 15:06:09 Log key: (LT-000111042)","CT-00126","A-05433","TH-00831","1","10","7","1621","0.01","BOLT PLATFORM 3.41","92.02","7.98","SSZC-5R26L-Mod-1.1","M21-01","2024-07-22","","","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/600/1200","1200","1/2/4/8/16","","","nan","No Reference","","No Reference","","","","Inactive"
"C9D269C6-2783-4BE7-8292-BBF77F601865","16006","SM-000016006","2025-09-26 11:49:09.250","2025-10-02 15:06:26.497","Paul Collins","Updated on 2025-10-02 15:06:26 Log key: (LT-000111043)","CT-00126","A-05433","TH-00831","","10","7","1621","0.01","nan","92.02","7.98","nan","nan","2024-10-07","","","","nan","","","","","","","","","","","","","","","","","","","","","nan","","nan","","","nan","No Reference","","No Reference","","","","Inactive"
"09B29FFC-AA9E-4F42-AE10-08A2C27B27E8","16007","SM-000016007","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000092350)","CT-00041","A-00389","TH-00831","2","6","3","102699","0.01","BOLT PLATFORM v3.2","91.02","8.98","SSZC-5R26L-Mod-1.1","M21-01","2023-11-14","","","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/600/1200","1200","1/2/4/8/16","","","nan","No Reference","","No Reference","","","","Inactive"
"362EE339-4B83-4520-8853-8C24861A77D3","16008","SM-000016008","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000096609)","CT-00043","A-00389","TH-00834","","48","3","4858","0.01/0.02","v3.2 (Bolt Platform)","93.00","7.00","SL-6R27L-Mod-3.1","(89.104%-93.092%)","2022-11-30","2022-11-30","","","Linked","2","10000.00","1000.00","","","","","","","0.50","0.50","","","","","","","PROG","6","27","50/100/200/250/500","500","1/2/4/5/10","iDeck","","Quixant Secure Boot 3.1","No Reference","5RUSAGE29","No Reference","V2.83-52","","Video","Inactive"
"42926A69-6534-466C-A98F-FD888247106B","16009","SM-000016009","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000100414)","CT-00043","A-00389","TH-00834","","48","3","4858","0.01/0.02/0.05","BOLT PLATFORM v3.2","0.89","99.11","CS-5R26L-Mod-1.0","M22-02","","","2023-02-08","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/375/600","600","1/2/4/5/8","","","nan","No Reference","","No Reference","","","","Inactive"
"D8310630-3E36-4433-8396-A8BAEAD5AF6B","16010","SM-000016010","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000097538)","CT-00040","A-00390","TH-00832","1","65","2","102475","0.01","Bolt Platform 3.2","94.10","5.90","USL_GE-6R27L-Mod-1.2","M20-06","2022-05-04","","2022-10-18","","Linked","2","10000.00","3000.00","","","","","","","0.50","0.50","","","","","","","PROG","6","27","75/150/300/600/1200","1200","1/2/4/8/16","iDeck","","Quixant Secure Boot 3.1","No Reference","S00120","No Reference","6NY400008400","","Video","Inactive"
"6262F45D-A178-4A77-B9A7-0FEDE1465F61","16011","SM-000016011","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000092594)","CT-00040","A-00390","TH-00825","1","27","2","102560","0.01/0.02/0.05","BOLT PLATFORM v3.2","0.89","99.11","CS-5R26L-Mod-1.0","M22-02","","","2023-01-18","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/600","600","1/2/4/8","","","nan","No Reference","","No Reference","","","","Inactive"
"986452C5-70A7-4649-9BE4-1CF4857438F0","16012","SM-000016012","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000093017)","CT-00026","A-00390","TH-00825","LL","4","2","101149","0.01/0.02/0.05","BOLT PLATFORM v3.41","92.01","7.99","CS-5R26L-Mod-1.1","M22-02","2024-06-17","","","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/375/600","600","1/2/4/5/8","","","nan","No Reference","","No Reference","","","","Inactive"
"86BA39A9-261D-4F99-9093-B920B7134BBC","16013","SM-000016013","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000098082)","CT-00026","A-00391","TH-00825","LL","4","3","101150","0.01/0.02/0.05","BOLT PLATFORM v3.41","92.01","7.99","CS-5R26L-Mod-1.1","M22-02","2024-06-17","","","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/375/600","600","1/2/4/5/8","","","nan","No Reference","","No Reference","","","","Inactive"
"BB78558D-2C7D-45FD-8BF9-A89F86B00CAA","16014","SM-000016014","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000097528)","CT-00134","A-00392","TH-00833","1","400","408","7175","0.01","v3.2","94.10","5.90","USL_GG-6R27L-Mod-1.2","M20-06","2022-09-13","2022-09-16","","","Linked","2","10000.00","3000.00","","","","","","","0.50","0.50","","","","","","","PROG","6","27","75/150/300/600/1200/2400","2400","1/2/4/8/16/32","iDeck","","","No Reference","E001TTL0101T5","No Reference","V2.51-49","","Video","Inactive"
"1DE38D9D-A0B2-4B4B-9EAB-EFB9D9EA6D0C","16028","SM-000016028","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000099908)","CT-00134","A-00398","TH-00825","1","400","409","7199","0.01/0.02/0.05","BOLT PLATFORM v3.2","","","CS-5R26L-Mod-1.0","M22-02","","","2023-02-21","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/375/600","600","1/2/4/8","","","nan","No Reference","","No Reference","","","","Inactive"
"20E9C576-E54B-4A10-94B0-7B9F540C21E4","16029","SM-000016029","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000096069)","CT-00041","A-00400","TH-00831","2","6","4","102700","0.01","BOLT PLATFORM v3.2","91.02","8.98","SSZC-5R26L-Mod-1.1","M21-01","2023-11-14","","","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/600/1200","1200","1/2/4/8/16","","","nan","No Reference","","No Reference","","","","Inactive"
"D41A1DC4-3A0B-4B41-BD53-2FF0C66680DC","16030","SM-000016030","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000093572)","CT-00043","A-00400","TH-00834","","48","4","4859","0.01/0.02","v3.2 (Bolt Platform)","93.00","7.00","SL-6R27L-Mod-3.1","(89.104%-93.092%)","2022-11-30","2022-11-30","","","Linked","2","10000.00","1000.00","","","","","","","0.50","0.50","","","","","","","PROG","6","27","50/100/200/250/500","500","1/2/4/5/10","iDeck","","Quixant Secure Boot 3.1","No Reference","5RUSAGE29","No Reference","V2.83-52","","Video","Inactive"
"E592F9C2-AC52-4D61-8396-E8BDCBB3C536","16031","SM-000016031","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000099670)","CT-00043","A-00400","TH-00825","","48","4","4867","0.01/0.02/0.05","BOLT PLATFORM v3.2","0.89","99.11","CS-5R26L-Mod-1.0","M22-02","","","2023-02-08","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/375/600","600","1/2/4/5/8","","","nan","No Reference","","No Reference","","","","Inactive"
"8ADA156F-EF96-4204-910C-B2D466CDF4E9","16032","SM-000016032","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000097866)","CT-00003","A-05419","TH-00825","4","1","3","10236","0.01/0.02/0.05","BOLT PLATFORM v3.41","92.01","7.99","CS-5R26L-Mod-1.1","M22-02","2024-03-25","","","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/375/600","600","1/2/4/5/8","","","nan","No Reference","","No Reference","","","","Inactive"
"7DF9F8C3-0588-43B3-B39D-11F2A583C6F4","16033","SM-000016033","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000092666)","CT-00117","A-05447","TH-00825","O","2","3","13362","0.01/0.02/0.05","Bolt Platform 3.2","","","CS-5R26L-Mod-1.1","M22-02","2024-02-07","","","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/375/600","600","1/2/4/5/8","","","nan","No Reference","","No Reference","","","","Inactive"
"6B70BD37-9F88-4B47-AE53-01EAFC79F634","16034","SM-000016034","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000092133)","CT-00003","A-02703","TH-00825","4","1","2","10237","0.01/0.02/0.05","BOLT PLATFORM v3.41","92.01","7.99","CS-5R26L-Mod-1.1","M22-02","2024-03-25","","","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/375/600","600","1/2/4/5/8","","","nan","No Reference","","No Reference","","","","Inactive"
"EA2838C5-FCA5-4E57-B724-7BB31D793722","16035","SM-000016035","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000096075)","CT-00117","A-05448","TH-00825","O","2","1","13360","0.01/0.02/0.05","Bolt Platform 3.2","","","CS-5R26L-Mod-1.1","M22-02","2024-02-07","","","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/375/600","600","1/2/4/5/8","","","nan","No Reference","","No Reference","","","","Inactive"
"71C8438B-8D6C-447F-AD8E-F04504BAD706","16036","SM-000016036","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000099932)","CT-00003","A-05420","TH-00831","4","1","5","10239","0.01","BOLT PLATFORM v3.41","92.02","7.98","SSZC-5R26L-Mod-1.1","M21-01","2024-03-25","","","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/600/1200","1200","1/2/4/8/16","","","nan","No Reference","","No Reference","","","","Inactive"
"92C7459D-07F9-4CE2-8068-61FA852530FB","16037","SM-000016037","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000095204)","CT-00117","A-05450","TH-00825","O","2","2","13361","0.01/0.02/0.05","Bolt Platform 3.2","","","CS-5R26L-Mod-1.1","M22-02","2024-02-07","","","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/375/600","600","1/2/4/5/8","","","nan","No Reference","","No Reference","","","","Inactive"
"F3EA228C-67EE-4885-A0CD-9FAD40A78811","16038","SM-000016038","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000097240)","CT-00003","A-05421","TH-00831","4","1","4","10241","0.01","BOLT PLATFORM v3.41","92.02","7.98","SSZC-5R26L-Mod-1.1","M21-01","2024-03-25","","","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/600/1200","1200","1/2/4/8/16","","","nan","No Reference","","No Reference","","","","Inactive"
"9ED0F4D6-F45E-46C4-9F6F-6874B61903FC","16039","SM-000016039","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000095428)","CT-00003","A-05422","TH-00831","4","1","6","10240","0.01","BOLT PLATFORM v3.41","92.02","7.98","SSZC-5R26L-Mod-1.1","M21-01","2024-03-25","","","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","26","75/150/300/600/1200","1200","1/2/4/8/16","","","nan","No Reference","","No Reference","","","","Inactive"
"186E6842-58DF-4B00-B2C8-F5022C768A80","16040","SM-000016040","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000100108)","CT-00029","A-01667","TH-00825","","7","1","13610","0.01/0.02/0.05","Bolt Platform v3.2","92.01","7.99","CS-5R26L-Mod-1.1","M22-02","2024-09-25","","","","LINKED","2","10000.00","1200.00","","","","","","","","","","","","","","","PROG","5","26","75/150/300/375/600","600","1/2/4/5/8","","","nan","No Reference","","No Reference","","","","Inactive"
