"uuid","index_key","reference_key","timestamp","update_by","table_name","log_id","change_log"
"317E31F6-B079-4366-9A95-5A7F8E8E878D","22","LT-000000022","2025-06-17 14:34:23.656","Paul Collins","order_detail","6D430676-DAD2-4FF4-9ACC-EEDFE079A231","{""index_key"":14,""insert_date"":""2025-06-17T14:34:23.647"",""update_date"":""2025-06-17T14:34:05"",""update_by"":""Paul Collins"",""sales_order_key"":""SO-000201"",""vendor"":""AGS"",""cabinet"":""Spectra 49"",""theme"":""Pug Pays"",""price"":15000,""quantity"":2}"
"7C57E6C9-1C18-45A3-AD50-497DFBD818BB","23","LT-000000023","2025-06-17 14:58:13.236","Paul Collins","order_detail","0159CA7B-7D18-4CA1-9A16-20AB1ABEFA5F","{""before_values"":""{\""uuid\"":\""0159CA7B-7D18-4CA1-9A16-20AB1ABEFA5F\"",\""index_key\"":14,\""reference_key\"":\""DT-0000014\"",\""insert_date\"":\""2025-06-17T14:34:23.647\"",\""update_date\"":\""2025-06-17T14:34:05\"",\""update_by\"":\""Paul Collins\"",\""change_log\"":\""Created on 2025-06-17 14:34:23\"",\""sales_order_key\"":\""SO-000201\"",\""vendor\"":\""AGS\"",\""cabinet\"":\""Spectra 49\"",\""theme\"":\""Pug Pays\"",\""price\"":15000,\""quantity\"":2}"",""after_values"":""{\""uuid\"":\""0159CA7B-7D18-4CA1-9A16-20AB1ABEFA5F\"",\""index_key\"":14,\""reference_key\"":\""DT-0000014\"",\""insert_date\"":\""2025-06-17T14:34:23.647\"",\""update_date\"":\""2025-06-17T14:57:39\"",\""update_by\"":\""Paul Collins\"",\""change_log\"":\""Created on 2025-06-17 14:34:23\"",\""sales_order_key\"":\""SO-000201\"",\""vendor\"":\""AGS (Premium)\"",\""cabinet\"":\""Spectra 43\"",\""theme\"":\""Long Fu Zhu\"",\""price\"":12500,\""quantity\"":4}""}"
"04B2A9A0-90E3-43F6-B421-797938B0AD50","24","LT-000000024","2025-06-17 15:03:17.933","Paul Collins","order_detail","0159CA7B-7D18-4CA1-9A16-20AB1ABEFA5F","{""before_values"":""{\""uuid\"":\""0159CA7B-7D18-4CA1-9A16-20AB1ABEFA5F\"",\""index_key\"":14,\""reference_key\"":\""DT-0000014\"",\""insert_date\"":\""2025-06-17T14:34:23.647\"",\""update_date\"":\""2025-06-17T14:57:39\"",\""update_by\"":\""Paul Collins\"",\""change_log\"":\""Created on 2025-06-17 14:34:23\"",\""sales_order_key\"":\""SO-000201\"",\""vendor\"":\""AGS (Premium)\"",\""cabinet\"":\""Spectra 43\"",\""theme\"":\""Long Fu Zhu\"",\""price\"":12500,\""quantity\"":4}"",""after_values"":""{\""uuid\"":\""0159CA7B-7D18-4CA1-9A16-20AB1ABEFA5F\"",\""index_key\"":14,\""reference_key\"":\""DT-0000014\"",\""insert_date\"":\""2025-06-17T14:34:23.647\"",\""update_date\"":\""2025-06-17T15:03:08\"",\""update_by\"":\""Paul Collins\"",\""change_log\"":\""Created on 2025-06-17 14:34:23\"",\""sales_order_key\"":\""SO-000201\"",\""vendor\"":\""AGS (Premium)\"",\""cabinet\"":\""Spectra 43\"",\""theme\"":\""Pug Pays\"",\""price\"":12500,\""quantity\"":4}""}"
"99F53E6D-7841-4454-B25D-4E1272E1F2E9","26","LT-000000026","2025-06-17 15:11:00.206","Garrett Aposhian","order_detail","EB214280-B0A1-4DFA-A900-3CD6FA2D6F7F","{""before_values"":""{\""index_key\"":15,\""insert_date\"":\""2025-06-17T15:11:00.203\"",\""update_date\"":\""2025-06-17T15:10:39\"",\""update_by\"":\""Garrett Aposhian\"",\""sales_order_key\"":\""SO-000202\"",\""vendor\"":\""ags\"",\""cabinet\"":\""Stuff\"",\""theme\"":\""other stuff\"",\""price\"":20000,\""quantity\"":2}"",""after_values"":""{\""uuid\"":\""EB214280-B0A1-4DFA-A900-3CD6FA2D6F7F\"",\""index_key\"":15,\""insert_date\"":\""2025-06-17T15:11:00.203\"",\""update_date\"":\""2025-06-17T15:10:39\"",\""update_by\"":\""Garrett Aposhian\"",\""sales_order_key\"":\""SO-000202\"",\""vendor\"":\""ags\"",\""cabinet\"":\""Stuff\"",\""theme\"":\""other stuff\"",\""price\"":20000,\""quantity\"":2}""}"
"DA9C0CB1-72CD-4AF6-8645-9057A5F9C193","29","LT-000000029","2025-06-17 15:11:30.540","Garrett Aposhian","order_detail","2B09BC17-4970-4D10-9CDC-9C6B614619E9","{""before_values"":""{\""index_key\"":16,\""insert_date\"":\""2025-06-17T15:11:30.540\"",\""update_date\"":\""2025-06-17T15:11:04\"",\""update_by\"":\""Garrett Aposhian\"",\""sales_order_key\"":\""SO-000202\"",\""vendor\"":\""Aruze\"",\""cabinet\"":\""Stuff 2\"",\""theme\"":\""Other Stuff 2\"",\""price\"":25995,\""quantity\"":2}"",""after_values"":""{\""uuid\"":\""2B09BC17-4970-4D10-9CDC-9C6B614619E9\"",\""index_key\"":16,\""insert_date\"":\""2025-06-17T15:11:30.540\"",\""update_date\"":\""2025-06-17T15:11:04\"",\""update_by\"":\""Garrett Aposhian\"",\""sales_order_key\"":\""SO-000202\"",\""vendor\"":\""Aruze\"",\""cabinet\"":\""Stuff 2\"",\""theme\"":\""Other Stuff 2\"",\""price\"":25995,\""quantity\"":2}""}"
"47628703-8B35-453B-89BD-0C9651AB68A9","6047","LT-000006047","2025-06-24 09:32:44.963","System","states","3444630F-BA90-4FBB-B6F0-63CD41CB746D","Created on 2025-06-24 09:32:44"
"12CDD461-9DB3-4583-AB40-E2B4607734A2","6048","LT-000006048","2025-06-24 09:32:44.963","System","states","1F122D61-702E-48E6-9790-BB63C62332C6","Created on 2025-06-24 09:32:44"
"FE2DD4DA-F4E4-4CD5-ADA4-10EAAC42A029","6049","LT-000006049","2025-06-24 09:32:44.963","System","states","F73C1EEC-A3F2-4403-A9D8-2BCFF06FF3ED","Created on 2025-06-24 09:32:44"
"68D9668D-B28C-46F5-B2BA-7962206E2C29","25","LT-000000025","2025-06-17 15:05:26.486","Paul Collins","order_detail","0159CA7B-7D18-4CA1-9A16-20AB1ABEFA5F","{""before_values"":""{\""uuid\"":\""0159CA7B-7D18-4CA1-9A16-20AB1ABEFA5F\"",\""index_key\"":14,\""reference_key\"":\""DT-0000014\"",\""insert_date\"":\""2025-06-17T14:34:23.647\"",\""update_date\"":\""2025-06-17T15:03:08\"",\""update_by\"":\""Paul Collins\"",\""change_log\"":\""Created on 2025-06-17 14:34:23\"",\""sales_order_key\"":\""SO-000201\"",\""vendor\"":\""AGS (Premium)\"",\""cabinet\"":\""Spectra 43\"",\""theme\"":\""Pug Pays\"",\""price\"":12500,\""quantity\"":4}"",""after_values"":""{\""uuid\"":\""0159CA7B-7D18-4CA1-9A16-20AB1ABEFA5F\"",\""index_key\"":14,\""reference_key\"":\""DT-0000014\"",\""insert_date\"":\""2025-06-17T14:34:23.647\"",\""update_date\"":\""2025-06-17T15:05:15\"",\""update_by\"":\""Paul Collins\"",\""change_log\"":\""Created on 2025-06-17 14:34:23\"",\""sales_order_key\"":\""SO-000201\"",\""vendor\"":\""AGS (Core)\"",\""cabinet\"":\""Spectra 49\"",\""theme\"":\""Pug Pays\"",\""price\"":12500,\""quantity\"":4}""}"
"88C88F56-21E6-4429-9972-4624312483AB","27","LT-000000027","2025-06-17 15:11:00.206","Garrett Aposhian","order_detail","EB214280-B0A1-4DFA-A900-3CD6FA2D6F7F","{""before_values"":""{\""uuid\"":\""EB214280-B0A1-4DFA-A900-3CD6FA2D6F7F\"",\""index_key\"":15,\""insert_date\"":\""2025-06-17T15:11:00.203\"",\""update_date\"":\""2025-06-17T15:10:39\"",\""update_by\"":\""Garrett Aposhian\"",\""change_log\"":\""Updated on 2025-06-17 15:11:00 Log key: (LT-000000026)\"",\""sales_order_key\"":\""SO-000202\"",\""vendor\"":\""ags\"",\""cabinet\"":\""Stuff\"",\""theme\"":\""other stuff\"",\""price\"":20000,\""quantity\"":2}"",""after_values"":""{\""uuid\"":\""EB214280-B0A1-4DFA-A900-3CD6FA2D6F7F\"",\""index_key\"":15,\""reference_key\"":\""DT-0000015\"",\""insert_date\"":\""2025-06-17T15:11:00.203\"",\""update_date\"":\""2025-06-17T15:10:39\"",\""update_by\"":\""Garrett Aposhian\"",\""change_log\"":\""Created on 2025-06-17 15:11:00\"",\""sales_order_key\"":\""SO-000202\"",\""vendor\"":\""ags\"",\""cabinet\"":\""Stuff\"",\""theme\"":\""other stuff\"",\""price\"":20000,\""quantity\"":2}""}"
"92ACF047-CF52-46E2-8B9B-84D82925E532","28","LT-000000028","2025-06-17 15:11:00.206","Garrett Aposhian","order_detail","4277FA0F-2BBB-4DC1-BCD9-3F2E101C2091","{""index_key"":15,""insert_date"":""2025-06-17T15:11:00.203"",""update_date"":""2025-06-17T15:10:39"",""update_by"":""Garrett Aposhian"",""sales_order_key"":""SO-000202"",""vendor"":""ags"",""cabinet"":""Stuff"",""theme"":""other stuff"",""price"":20000,""quantity"":2}"
"B163CD09-4A6F-46BA-B4B5-A103DDC95741","32","LT-000000032","2025-06-17 15:17:57.243","Garrett Aposhian","order_detail","98C873EC-470F-46F0-989F-7CC423F41357","{""before_values"":""{\""index_key\"":17,\""insert_date\"":\""2025-06-17T15:17:57.243\"",\""update_date\"":\""2025-06-17T15:17:43\"",\""update_by\"":\""Garrett Aposhian\"",\""sales_order_key\"":\""SO-000203\"",\""vendor\"":\""AGS\"",\""cabinet\"":\""Stuff\"",\""theme\"":\""STUFF2\"",\""price\"":20000,\""quantity\"":5}"",""after_values"":""{\""uuid\"":\""98C873EC-470F-46F0-989F-7CC423F41357\"",\""index_key\"":17,\""insert_date\"":\""2025-06-17T15:17:57.243\"",\""update_date\"":\""2025-06-17T15:17:43\"",\""update_by\"":\""Garrett Aposhian\"",\""sales_order_key\"":\""SO-000203\"",\""vendor\"":\""AGS\"",\""cabinet\"":\""Stuff\"",\""theme\"":\""STUFF2\"",\""price\"":20000,\""quantity\"":5}""}"
"A50A4472-BE7E-4B4E-8A41-19985DCF7EF6","36","LT-000000036","2025-06-17 15:23:11.606","Paul Collins","order_detail","1BD1C329-5BEF-4612-8005-2EC42BCC1A7C","{""before_values"":""{\""uuid\"":\""1BD1C329-5BEF-4612-8005-2EC42BCC1A7C\"",\""index_key\"":13,\""reference_key\"":\""DT-0000013\"",\""insert_date\"":\""2025-06-16T16:02:10.837\"",\""update_date\"":\""2025-06-16T16:02:01\"",\""update_by\"":\""Haley Hoagland\"",\""sales_order_key\"":\""LO-000200\"",\""vendor\"":\""2\"",\""cabinet\"":\""2\"",\""theme\"":\""2\"",\""price\"":2}"",""after_values"":""{\""uuid\"":\""1BD1C329-5BEF-4612-8005-2EC42BCC1A7C\"",\""index_key\"":13,\""reference_key\"":\""DT-0000013\"",\""insert_date\"":\""2025-06-16T16:02:10.837\"",\""update_date\"":\""2025-06-17T15:23:08\"",\""update_by\"":\""Paul Collins\"",\""sales_order_key\"":\""LO-000200\"",\""vendor\"":\""2\"",\""cabinet\"":\""2\"",\""theme\"":\""2\"",\""price\"":2,\""quantity\"":5}""}"
"76660DD0-09AC-49AE-AF2F-E2285DC6EB92","6056","LT-000006056","2025-06-24 09:32:44.963","System","states","37BDABC6-741D-4A69-B718-2C077970B3D4","Created on 2025-06-24 09:32:44"
"3F25523B-028B-4554-A896-8E7521E5BB35","6441","LT-000006441","2025-06-27 14:42:58.530","Paul Collins","emplyee","69A16AE5-B191-4C4D-859E-96E54D7D4931","Initial Upload2025-06-27 14:42:58"
"A5329A76-2731-4FE3-8765-A52373F03F82","6442","LT-000006442","2025-06-27 14:42:58.530","Paul Collins","emplyee","030A4299-47BE-4BF4-B7A6-A6AC34BAC5B3","Initial Upload2025-06-27 14:42:58"
