"uuid","index_key","reference_key","insert_date","update_date","update_by","change_log","vendor_id","cabinet_name","version_name"
"7FC959A3-565F-4F67-A373-1A98D86B8CA9","1","CAB-00001","2025-06-18 15:16:31.963","2025-06-19 15:55:45.960","Paul Collins","Updated on 2025-06-19 15:55:45 Log key: (LT-000005544)","VT-001","A560",""
"8E6F7535-5DBF-42FA-BBA6-EB767134FF29","2","CAB-00002","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000197)","VT-001","A560 Noir",""
"55A880B9-CE16-4BD6-9E89-79D7F42DC699","3","CAB-00003","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000138)","VT-001","A560ST",""
"914060D9-7B3D-43A8-9AD6-A5EB5452484F","4","CAB-00004","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000161)","VT-001","A600",""
"7E55A658-312F-49A5-9533-FA0416AEB294","5","CAB-00005","2025-06-18 15:16:31.963","2025-07-15 16:41:33.750","Paul Collins","Updated on 2025-07-15 16:41:33 Log key: (LT-000007269)","VT-001","A600 Slant",""
"7D671C89-2FC1-4C70-87B8-E95234AF3F5D","6","CAB-00006","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000196)","VT-001","A640",""
"D6694977-BE05-4C9C-9C92-87E4049DCBE2","7","CAB-00007","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000146)","VT-001","A-Star Curve",""
"18C87C43-3128-41D8-B977-D6EABB2566FF","8","CAB-00008","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000182)","VT-001","A-Star Dual Screen",""
"6619FBDD-4776-401D-8735-9535F8FC8ABC","9","CAB-00009","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000151)","VT-001","A-Star Slant",""
"B143EAAA-FF4A-42D2-8B4B-B078E66793FF","10","CAB-00010","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000165)","VT-002","Crystal Curve",""
"730B885A-3249-4D7B-A943-E810D4B3C38D","11","CAB-00011","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000195)","VT-002","Crystal Dual 23",""
"202AF3D1-A6A1-43D4-B2FB-F95E17E4C17C","12","CAB-00012","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000206)","VT-002","Crystal Dual 27",""
"F2A9F883-9EAE-44F4-9737-B0CE26A488E1","13","CAB-00013","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000166)","VT-002","Crystal Slant",""
"E87EAA26-FF55-4EAF-AB17-4757E0A083C5","14","CAB-00014","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000118)","VT-002","G20",""
"924CD7A5-98A7-49F7-B7A0-C2F0F881CE21","15","CAB-00015","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000174)","VT-002","G20 MLD",""
"4D8E9CE8-4975-4CE8-AFD7-38EEEBE8509F","16","CAB-00016","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000110)","VT-002","G23",""
"DF948483-46E2-4DCD-87F5-6CD5C97757E8","17","CAB-00017","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000130)","VT-002","G23 MLD",""
"CC379EFC-86A0-481E-A209-A372529D11F8","18","CAB-00018","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000160)","VT-002","G23 V2",""
"12AEB2B2-7447-4CAE-9CB3-69835B6C4B2A","19","CAB-00019","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000128)","VT-002","G23 V2 MLD",""
"71BF6EF1-93B9-4367-A6AA-F76F085048A4","20","CAB-00020","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000204)","VT-002","Game King 19",""
"DD902347-A4D4-454F-B838-0F7085ACCD0F","21","CAB-00021","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000092)","VT-002","S2000",""
"AEE0448C-EFA9-4639-85C4-63937589EEB7","22","CAB-00022","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000126)","VT-002","S3000",""
"9DC65858-C03D-4798-A8F1-024058384FE3","23","CAB-00023","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000088)","VT-002","Trimline",""
"63A0427D-3304-4C67-AFA9-4127FFBE2533","24","CAB-00024","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000114)","VT-002","Universal Slant",""
"6BB2EC43-1553-46DC-AF16-42D4FD3A54C0","25","CAB-00025","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000115)","VT-003","Big Red",""
"B7E45D14-B87A-4AE2-9FEC-9E2ECDE06701","26","CAB-00026","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000159)","VT-003","DV-1 Halo",""
"A69AA12B-BA6C-47D9-88F7-22681D25C6FB","27","CAB-00027","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000100)","VT-003","Icon",""
"4A725B14-87CD-45F5-92CE-26C95F8D249D","28","CAB-00028","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000103)","VT-003","Orion Curve",""
"7A9040E2-EB6F-4845-ABCC-1401F2DB2A50","29","CAB-00029","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000094)","VT-003","Orion Portrait",""
"8854412A-E568-4CCB-AB83-EF83C5AA9C3C","30","CAB-00030","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000200)","VT-003","Orion Slant",""
"D795520E-C87A-4EF1-8864-2FA39FF2E624","31","CAB-00031","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000107)","VT-003","Revel",""
"03A5A684-2F3D-4C9B-B41E-0DE9088D8409","32","CAB-00032","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000090)","VT-003","Spectra 43",""
"9F6AECEB-DD09-4DC0-80BE-DCEBE339E0F8","33","CAB-00033","2025-06-18 15:16:31.963","2025-09-24 15:42:16.520","Paul Collins","Updated on 2025-09-24 15:42:16 Log key: (LT-000091798)","VT-003","Spectra 49",""
"5D6DC18A-68CD-4603-9D9D-C39F5CA71D77","34","CAB-00034","2025-06-18 15:16:31.963","2025-07-28 10:29:50.920","Paul Collins","Updated on 2025-07-28 10:29:50 Log key: (LT-000061474)","VT-003","Spectra SL49+",""
"22ECDCE2-55DB-4391-9B4D-81F772F2E68E","35","CAB-00035","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000142)","VT-003","Stratos",""
"3B447B68-5957-4316-B019-DBFD1DFC2DEA","36","CAB-00036","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000188)","VT-004","Breeze",""
"BDC8B8EA-965E-4F3A-9D2D-8B4EDD9825E2","37","CAB-00037","2025-06-18 15:16:31.963","2025-06-18 15:16:31.987","Paul Collins","Updated on 2025-06-18 15:16:31 Log key: (LT-000000148)","VT-004","Infinity V55",""
