"uuid","index_key","reference_key","insert_date","update_date","update_by","change_log","player_tracker"
"BD5A8E27-1BEC-4376-B739-8FD2DC56FD5F","1","PT-00001","2025-07-23 14:06:25","2025-07-23 14:06:35.960","Paul Collins","Updated on 2025-07-23 14:06:35 Log key: (LT-000058574)","AdvanSys 2x40"
"368A7EFC-98EC-4EEB-9FF8-5EE408680D22","2","PT-00002","2025-07-23 14:06:39","2025-07-23 14:06:41.397","Paul Collins","Updated on 2025-07-23 14:06:41 Log key: (LT-000058576)","AdvanSys 4x20"
"37B1FAAF-FBA6-4D8A-BCA6-86A6DD2EB240","3","PT-00003","2025-07-23 14:06:44","2025-07-23 14:06:45.757","Paul Collins","Updated on 2025-07-23 14:06:45 Log key: (LT-000058578)","Bally"
"897A57D2-F41D-448A-A553-0221AAA0BFB4","4","PT-00004","2025-07-23 14:06:53","2025-07-23 14:06:58.850","Paul Collins","Updated on 2025-07-23 14:06:58 Log key: (LT-000058580)","Bally ACSC"
"101E9144-C80A-4713-9261-07FA1870772E","6","PT-00006","2025-07-23 14:07:08","2025-07-23 14:07:09.083","Paul Collins","Updated on 2025-07-23 14:07:09 Log key: (LT-000058584)","Bally iView"
"3B642863-D688-4FE3-9344-EF16F31A2562","7","PT-00007","2025-07-23 14:07:12","2025-07-23 14:07:14.373","Paul Collins","Updated on 2025-07-23 14:07:14 Log key: (LT-000058586)","Bally SDS"
"49C3E3A0-A8F2-4887-975E-B2B89C748515","8","PT-00008","2025-07-23 14:07:17","2025-07-23 14:07:19.463","Paul Collins","Updated on 2025-07-23 14:07:19 Log key: (LT-000058588)","CasinoTrac"
"DCFDE6BD-281F-4151-85BE-B7A2A095E524","9","PT-00009","2025-07-23 14:07:22","2025-07-23 14:07:24.113","Paul Collins","Updated on 2025-07-23 14:07:24 Log key: (LT-000058590)","Casinotrac/Tabletrac"
"A80207E9-0396-4C80-B258-87D3626C7006","12","PT-00012","2025-07-23 14:07:36","2025-07-23 14:07:45.600","Paul Collins","Updated on 2025-07-23 14:07:45 Log key: (LT-000058596)","IGT Acres Nexgen"
"C56C6F71-063A-4F04-8860-D97B70F87D5F","13","PT-00013","2025-07-23 14:13:21.293","2025-07-23 14:13:21.343","Paul Collins","Updated on 2025-07-23 14:13:21 Log key: (LT-000058598)","IGT Acres"
"7E1B1AC7-A6CD-4E96-A45E-E2FD6E5E3A7B","15","PT-00015","2025-07-23 14:13:32.487","2025-07-23 14:13:32.497","Paul Collins","Updated on 2025-07-23 14:13:32 Log key: (LT-000058602)","IGT Avento"
"5D78849B-1BF8-4D17-AF2C-D0DA228F95A7","16","PT-00016","2025-07-23 14:13:36.587","2025-07-23 14:13:36.610","Paul Collins","Updated on 2025-07-23 14:13:36 Log key: (LT-000058604)","IGT Avento w/TFT"
"E0DECF69-26CA-4739-87D4-B4040D9868CF","17","PT-00017","2025-07-23 14:13:41.063","2025-07-23 14:13:41.080","Paul Collins","Updated on 2025-07-23 14:13:41 Log key: (LT-000058606)","Konami Synkros"
"A35BFD56-9EFB-4E18-8434-CA0F27AB88AC","18","PT-00018","2025-07-23 14:13:46.223","2025-07-23 14:13:46.243","Paul Collins","Updated on 2025-07-23 14:13:46 Log key: (LT-000058608)","L&W iView 4.0 w/card reader"
