"uuid","index_key","reference_key","insert_date","update_date","update_by","change_log","cabinet_id","theme_name","vendor_id","delete_request"
"D5383C36-EF77-4024-8A1D-7E2C082D2E70","1","TH-00001","2025-06-18 15:27:53.680","2025-06-18 16:52:25.283","Paul Collins","Updated on 2025-06-18 16:52:25 Log key: (LT-000004644)","CAB-00001","Fire Wizard","VT-001",""
"14D22FC9-965B-4C50-8F18-B87BD202E0EB","2","TH-00002","2025-06-18 15:27:53.680","2025-06-18 16:52:25.283","Paul Collins","Updated on 2025-06-18 16:52:25 Log key: (LT-000005046)","CAB-00001","High Denom: Dollar Action","VT-001",""
"0483AFF4-41BD-4802-95FA-FA557AF87CD8","3","TH-00003","2025-06-18 15:27:53.680","2025-06-18 16:52:25.283","Paul Collins","Updated on 2025-06-18 16:52:25 Log key: (LT-000005496)","CAB-00001","High Denom: Thunder Cash","VT-001",""
"D7A11EFC-490E-4633-B007-DAEA6A36A7CC","4","TH-00004","2025-06-18 15:27:53.680","2025-06-18 16:52:25.283","Paul Collins","Updated on 2025-06-18 16:52:25 Log key: (LT-000005286)","CAB-00001","Inca Reef Triple Shot","VT-001",""
"F6124C47-1C40-46EA-B774-E049B8C9B256","5","TH-00005","2025-06-18 15:27:53.680","2025-06-18 16:52:25.283","Paul Collins","Updated on 2025-06-18 16:52:25 Log key: (LT-000005325)","CAB-00001","Quickspin: Afterburner 7's","VT-001",""
"98EAE175-1C08-43A8-B471-9DFA9FBAA1F3","6","TH-00006","2025-06-18 15:27:53.680","2025-06-18 16:52:25.283","Paul Collins","Updated on 2025-06-18 16:52:25 Log key: (LT-000004860)","CAB-00001","Quickspin: Super Charged 7's","VT-001",""
"3D0B31B0-ED86-4D77-A307-8A8C9DE92AAE","7","TH-00007","2025-06-18 15:27:53.680","2025-06-20 09:24:02.493","Paul Collins","Updated on 2025-06-20 09:24:02 Log key: (LT-000005550)","CAB-00001","Quickspin: Super Charged 7's Classic","VT-001","request sent"
"60D1609E-1DB9-48C1-A177-C6CAF6534C3D","8","TH-00008","2025-06-18 15:27:53.680","2025-06-18 16:52:25.283","Paul Collins","Updated on 2025-06-18 16:52:25 Log key: (LT-000005162)","CAB-00001","Quickspin: Super Crystal 7s","VT-001",""
"955F2C6A-1467-4758-8C95-910A98F45F08","9","TH-00009","2025-06-18 15:27:53.680","2025-06-18 16:52:25.283","Paul Collins","Updated on 2025-06-18 16:52:25 Log key: (LT-000004768)","CAB-00001","Quickspin: Super Lantern 8's","VT-001",""
"CD44F69D-7064-417C-A7E0-E927CC5786CC","10","TH-00010","2025-06-18 15:27:53.680","2025-06-18 16:52:25.283","Paul Collins","Updated on 2025-06-18 16:52:25 Log key: (LT-000005388)","CAB-00001","Thunder Diamonds","VT-001",""
